year,region,educ,educ_count,educ_share
2002,West,High school,10424907.779003143,0.26357982420536974
2002,West,Less than high school,6260099.429652532,0.1582782257795407
2002,West,Some college,11582209.484546026,0.2928406470889978
2002,West,College,7635740.656124115,0.1930594708830548
2002,West,Advanced,3648278.4496650696,0.092241832043037
2002,Northeast,High school,12630213.119876862,0.35049281902482743
2002,Northeast,College,6776003.925566356,0.18803647215243535
2002,Northeast,Advanced,4089854.933230082,0.11349490078631266
2002,Northeast,Less than high school,5034332.169021606,0.13970447347803422
2002,Northeast,Some college,7505178.992118835,0.20827133455839025
2002,Midwest,Some college,11133921.858513197,0.26446607266800254
2002,Midwest,High school,14843217.75862503,0.3525736534047959
2002,Midwest,Less than high school,5322129.653656642,0.12641751447683022
2002,Midwest,College,7191316.239085515,0.17081664369778027
2002,Midwest,Advanced,3609037.1229635873,0.08572611575259112
2002,West,NA,0,0
2003,South,Advanced,5514243.5830459595,0.08361120287636718
2003,South,College,11235181.742473602,0.170356467913577
2003,South,Some college,16257237.085669199,0.24650473409595816
2003,South,High school,21228051.363119762,0.3218760438238254
2003,South,Less than high school,11716299.885902405,0.17765155129027221
2003,West,High school,10768057.304113388,0.2606147788525477
2003,West,Advanced,3960247.6926377616,0.09584821546444053
2003,West,Some college,12014538.218643188,0.2907828341209769
2003,West,College,8164644.457250595,0.19760546861347175
2003,West,Less than high school,6410419.7442855835,0.15514870294856306
2003,Northeast,High school,12655539.743404388,0.3507800091279467
2003,Northeast,Less than high school,4972428.705721538,0.1378233265546888
2003,Northeast,College,6926429.606291453,0.19198335983933393
2003,Northeast,Some college,7321539.130630493,0.20293481077420367
2003,Northeast,Advanced,4202343.827931722,0.11647849370382696
2003,Midwest,Less than high school,5056337.673487981,0.12060938385311328
2003,Midwest,Advanced,3725937.63595136,0.0888752040638979
2003,Midwest,Some college,11147872.839264551,0.2659114484118423
2003,Midwest,High school,14827886.379686356,0.35369121992682767
2003,Midwest,College,7165218.140290578,0.17091274374431886
2004,South,College,11343232.924849192,0.16967530969909267
2004,South,Some college,16717866.03322347,0.25007060293023536
2004,South,Less than high school,11481274.08337148,0.1717401686752476
2004,South,High school,21562157.786758423,0.32253289908507976
2004,South,Advanced,5748053.351343791,0.08598101961034464
2004,West,College,8550488.833108902,0.20281140645670517
2004,West,Some college,12137047.403939247,0.2878819798808654
2004,West,High school,10855210.722359976,0.2574777415603337
2004,West,Advanced,4128482.782836914,0.09792462349956764
2004,West,Less than high school,6488572.719034195,0.15390424860252808
2004,Northeast,College,6833648.882904053,0.190377438053423
2004,Northeast,Less than high school,4780264.685590108,0.13317256412406664
2004,Northeast,High school,12609978.398501078,0.3512991993810852
2004,Northeast,Some college,7379833.211404164,0.20559349245518094
2004,Northeast,Advanced,4291541.365666707,0.11955730598624423
2004,Midwest,Less than high school,4919079.800979614,0.11703808469100987
2004,Midwest,Some college,11321176.200733503,0.2693611066686544
2004,Midwest,Advanced,3725005.4365873337,0.08862785711973192
2004,Midwest,College,7231932.409270287,0.17206704343915616
2004,Midwest,High school,14832542.147907892,0.3529059080814476
2005,South,Less than high school,11684598.235229492,0.17114592151844202
2005,South,College,11600926.739186605,0.16992037357859832
2005,South,Advanced,5908717.367828369,0.08654579802838619
2005,South,Some college,16947745.803685505,0.24823596967902903
2005,South,High school,22130735.688569386,0.3241519371955444
2005,West,Some college,12330220.561689058,0.28786138207402084
2005,West,High school,11067919.372416496,0.2583916930997059
